zip,county,num_below_p50,pop2018,ec_zip,ec_se_zip,nbhd_ec_zip,ec_grp_mem_zip,ec_high_zip,ec_high_se_zip,nbhd_ec_high_zip,ec_grp_mem_high_zip,exposure_grp_mem_zip,exposure_grp_mem_high_zip,nbhd_exposure_zip,bias_grp_mem_zip,bias_grp_mem_high_zip,nbhd_bias_zip,nbhd_bias_high_zip,clustering_zip,support_ratio_zip,volunteering_rate_zip,civic_organizations_zip
21231,24510,2659.208389759064,16160,0.82672,0.01863,1.17755,0.95047998,1.57759,0.01078,1.8367701,1.65968,1.06769,1.54485,1.68375,0.10978,-0.074330002,0.30063999,-0.090879999,0.084930003,0.77897,0.093390003,0.01033
21234,24005,6462.319259479642,68938,0.91718,0.01008,0.93369001,0.99493003,1.42345,0.01135,1.46597,1.50652,1.09879,1.37819,1.2284499,0.094520003,-0.093120001,0.23995,-0.19335,0.08162,0.86167997,0.057379998,0.0078999996
21236,24005,2111.634726405144,38573,1.0219899,0.01384,1.22577,1.09744,1.46012,0.01242,1.60242,1.53557,1.17479,1.42132,1.40759,0.065839998,-0.08038,0.12917,-0.13841,0.087169997,0.86132997,0.05903,0.0071999999
21237,24005,2205.898453831673,30286,0.86932999,0.01268,0.95613998,0.98966002,1.28856,0.01415,1.34911,1.40614,1.04741,1.29408,1.12552,0.055130001,-0.086599998,0.1505,-0.19865,0.08337,0.80255997,0.03881,0.0067599998
21239,24510,4142.255296707153,31133,0.76055998,0.0101,0.65766001,0.80918002,1.19901,0.01544,0.94858003,1.28135,0.87485999,1.22208,0.88212001,0.075070001,-0.048500001,0.25444999,-0.075340003,0.075850002,0.78772998,0.040910002,0.00404
21244,24005,5207.819894552231,35724,0.79527998,0.01073,0.89802003,0.88652998,1.16378,0.01458,1.1454999,1.2540801,0.96158999,1.21118,1.05761,0.07807,-0.035420001,0.15088999,-0.083099999,0.083800003,0.80747998,0.036400001,0.01086
21286,24005,673.5526330769062,20483,0.98685998,0.01833,1.05129,1.10988,1.5825599,0.01308,1.7468899,1.66623,1.14463,1.53225,1.46926,0.03036,-0.087439999,0.28448001,-0.18896,0.08845,0.73710001,0.066160001,0.039670002
21401,24003,2474.967240739614,37081,1.0043,0.01643,1.2223099,1.20059,1.5105,0.01197,1.66199,1.6192,1.38713,1.51673,1.5403301,0.13447,-0.067560002,0.20646,-0.078979999,0.096330002,0.95292002,0.054620001,0.046259999
21402,24003,67.02938461303711,6409,1.1822,0.04733,NA,NA,1.41115,0.02703,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.082000002,0.84292001,0.06656,0.04259
21403,24003,2191.16854095459,30855,0.85900998,0.016319999,0.67815,0.87089998,1.5519,0.01312,1.51249,1.58527,1.24769,1.48559,1.24684,0.30199,-0.067100003,0.45609999,-0.21306001,0.094939999,0.95477003,0.05192,0.01096
21409,24003,1018.520178794861,20352,1.25931,0.02757,1.6368999,1.4238501,1.62119,0.01248,1.81794,1.69137,1.43203,1.56686,1.7023,0.0057100002,-0.079470001,0.038419999,-0.067939997,0.089610003,0.91320997,0.082560003,0.01009
21502,24001,4714.524925231934,42583,0.83951998,0.01141,0.59758002,0.73101997,1.14984,0.01415,0.85532999,1.06005,0.77491999,0.89538997,0.62226999,0.056639999,-0.18389,0.039670002,-0.37452999,0.11586,0.99651003,0.066380002,0.0209
21520,24023,291.7113342285156,2212,1.04688,0.034309998,NA,1.0957,1.24499,0.029689999,NA,1.26194,1.0755301,1.1592799,NA,-0.018750001,-0.08856,NA,NA,0.13198,0.96673,0.092859998,0.02259
21521,24001,171.8182983398438,1104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14310549,0.96644324,0.058071662,0.0048262444
21530,24001,240.7376556396484,1961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11694515,0.95532405,0.078707181,0.034630265
21531,24023,322.8385314941406,1895,0.99778003,0.02837,0.95920998,1.03211,1.12365,0.02915,1.06451,1.15536,1.03945,1.08216,0.97828001,0.0070500001,-0.067639999,0.01949,-0.088140003,0.12936001,0.99251997,0.087030001,0.01311
21532,24001,1229.644631385803,15062,0.94805998,0.01564,0.92267001,0.98923999,1.18975,0.0174,1.15141,1.24605,1.02114,1.1352201,0.97258002,0.031230001,-0.097630002,0.051309999,-0.18387,0.12606999,0.98875999,0.066660002,0.019859999
21536,24023,597.1462364196777,4145,1.02315,0.022229999,0.95958,1.03049,1.11277,0.02482,1.0477901,1.14372,1.04261,1.0833,0.95570999,0.01163,-0.055780001,-0.0040500001,-0.096349999,0.1407,0.99008,0.071070001,0.027070001
21539,24001,375.716362953186,2807,0.85882998,0.02603,1.11238,0.96043003,0.96122998,0.02734,1.1790299,1.09738,0.97596002,1.04232,1.03528,0.01591,-0.052820001,-0.074479997,-0.13885,0.14032,0.98559999,0.033330001,0.0099299997
21541,24023,143.2985429763794,1354,1.01262,0.039129999,NA,1.10484,1.25859,0.032269999,NA,1.30223,1.0926,1.1932,NA,-0.0112,-0.09138,NA,NA,0.13158,0.96302998,0.074210003,0.083980002
21545,24001,266.2511608600616,1725,0.95576,0.02895,NA,1.04027,1.0072401,0.02919,NA,1.1142401,1.05066,1.07201,NA,0.0098900003,-0.0394,NA,NA,0.12259,0.95525002,0.05336,0.0139
21550,24023,2000.65406036377,14112,0.91135001,0.016410001,0.76447999,0.87549001,1.12345,0.019160001,0.91873002,1.07955,0.90897,0.98411,0.79737002,0.036830001,-0.096979998,0.041250002,-0.1522,0.14241999,0.99756002,0.066749997,0.03025
21555,24001,250.296875,1541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12092834,0.94327438,0.092447825,0.020363592
